Experiment,Description,Key Result,Decision
EXP-01,Prototype using a fixed 2025-01-02 universe and short 2024-11 to 2025-01 window,"Positive-mover spreads: +43.8 / +41.6 / +6.2 bps","Prototype only; not used as formal evidence"
EXP-02,Naive significance test on prototype results,"t-stat approximately 2.45","Rejected because all horizons were accidentally forced onto the same 36-day sample"
EXP-03,Initial formal development test using broad High/Low AVOL sorts,"Negative movers: +3.62 / +9.98 / +16.32 bps","Original continuation hypothesis not supported; investigate reversal"
EXP-04,Diagnostic comparing signal-day move magnitudes between High- and Low-AVOL groups,"Negative movers: High AVOL -3.65% vs Low AVOL -2.84%","Identified signal-day magnitude confound"
EXP-05,First magnitude-control attempt using 5-percentile bins,"Residual signal-return gaps: +68.2 bps positive movers; -38.7 bps negative movers","Insufficient balance; refine bins"
EXP-06,Primary 1-percentile magnitude-controlled development specification,"Negative movers: +4.52 / +12.89 / +21.04 bps; HAC t-stats 4.10 / 5.29 / 5.50","Adopted as main development specification"
EXP-07,Continuous control for remaining negative-mover signal-day return gap,"Adjusted negative movers: +2.91 / +8.32 / +16.85 bps","3D and 5D reversal remains positive"
EXP-08,Robustness using AVOL10,"Negative movers: +13.70 bps 3D; +20.70 bps 5D","Result remains positive"
EXP-09,Robustness using AVOL40,"Negative movers: +10.63 bps 3D; +17.97 bps 5D","Result remains positive"
EXP-10,Robustness using ADV20 >= $5M,"Negative movers: +10.56 bps 3D; +15.95 bps 5D","Result remains positive"
EXP-11,Robustness using ADV20 >= $10M,"Negative movers: +9.06 bps 3D; +13.76 bps 5D","Result remains positive"
EXP-12,Robustness using top/bottom 10% mover tails,"Negative movers: +17.95 bps 3D; +30.88 bps 5D","Larger effect but retained 20% tail as primary to avoid performance-based specification selection"
EXP-13,Locked 2025 holdout evaluation,"Negative movers: +13.83 / +42.74 / +61.28 bps","Direction replicates out of sample"
EXP-14,Continuous signal-return control in locked holdout,"Adjusted negative movers: +13.87 / +49.00 / +70.48 bps","Holdout reversal remains positive after residual magnitude control"
